gs_name	gene
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000163687
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000136160
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000086232
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000197561
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000277571
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000130427
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000182197
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000131187
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000180210
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000117525
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000185010
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000150337
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000072694
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000203747
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000126262
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000185897
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000115414
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000180549
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000107485
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000084207
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000105697
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000204592
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000206493
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000225201
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000229252
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000230254
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000233904
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000236632
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000257017
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000261701
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000211896
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000277633
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000115008
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000125538
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000174564
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000127318
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000164509
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000113520
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000136244
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000160712
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000134352
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000254647
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000055955
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000133116
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000164344
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000129988
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000165471
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000283705
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000170255
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000140795
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000162711
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000174885
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000122585
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000164129
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000176046
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000114026
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000112038
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000229314
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000228278
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000099985
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000145623
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000116288
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000105851
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000117215
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000188313
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000137509
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000050628
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000148344
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000073756
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000172016
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000143954
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000100263
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000143546
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000173432
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000288411
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000134339
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000148965
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000131871
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000197249
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000277377
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000196136
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000167711
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000276838
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000185187
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000115353
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000106327
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000072274
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000204490
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000206439
GOBP_ACUTE_INFLAMMATORY_RESPONSE	ENSG00000223952
